Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,jakarta barat,jakarta pusat,jakarta selatan,jakarta timur,jakarta utara
Hotel Gren Alia Cikini,1118,350000,jakarta pusat,3,8.5,-6.1922684,106.8383062,0.002457009,114606,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0
Hotel Gren Alia Cikini,1121,350000,jakarta pusat,3,8.5,-6.1922684,106.8383062,0.002457009,160015.2,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0
Sanur Elok Residence,1112,350000,jakarta selatan,2,8.5,-6.2207814,106.8276628,0.003329706,178050,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0
Sanur Elok Residence,1113,350000,jakarta selatan,2,8.5,-6.2207814,106.8276628,0.003329706,373435,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0
Sanur Elok Residence,1114,350000,jakarta selatan,2,8.5,-6.2207814,106.8276628,0.003329706,240496.9,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0
Sanur Elok Residence,1115,350000,jakarta selatan,2,8.5,-6.2207814,106.8276628,0.003329706,212937.3,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0
Sanur Elok Residence,1116,350000,jakarta selatan,2,8.5,-6.2207814,106.8276628,0.003329706,242960.3,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0
Sanur Elok Residence,1117,350000,jakarta selatan,2,8.5,-6.2207814,106.8276628,0.003329706,241023.9,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0
Sanur Elok Residence,1118,350000,jakarta selatan,2,8.5,-6.2207814,106.8276628,0.003329706,263754.3,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0
Sanur Elok Residence,1119,350000,jakarta selatan,2,8.5,-6.2207814,106.8276628,0.003329706,337660.5,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0
Sanur Elok Residence,1120,350000,jakarta selatan,2,8.5,-6.2207814,106.8276628,0.003329706,306763,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0
Sanur Elok Residence,1121,350000,jakarta selatan,2,8.5,-6.2207814,106.8276628,0.003329706,250033.7,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0
Petogogan Residence,1112,350000,jakarta selatan,2.5,8.7,-6.2518822,106.7949096,0.004860556,109682.2222,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0
Petogogan Residence,1113,350000,jakarta selatan,2.5,8.7,-6.2518822,106.7949096,0.004860556,118375.6667,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0
Petogogan Residence,1114,350000,jakarta selatan,2.5,8.7,-6.2518822,106.7949096,0.004860556,143947.8889,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0
Petogogan Residence,1115,350000,jakarta selatan,2.5,8.7,-6.2518822,106.7949096,0.004860556,105799.3333,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0
Petogogan Residence,1116,350000,jakarta selatan,2.5,8.7,-6.2518822,106.7949096,0.004860556,73488.625,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0
Petogogan Residence,1118,350000,jakarta selatan,2.5,8.7,-6.2518822,106.7949096,0.004860556,147230.9,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0
Petogogan Residence,1119,350000,jakarta selatan,2.5,8.7,-6.2518822,106.7949096,0.004860556,172338.9,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0
Petogogan Residence,1120,350000,jakarta selatan,2.5,8.7,-6.2518822,106.7949096,0.004860556,162235.2,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0
Petogogan Residence,1121,350000,jakarta selatan,2.5,8.7,-6.2518822,106.7949096,0.004860556,143684.3,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0
D'cozie Hotel by Prasanthi,1114,350000,jakarta selatan,3,8.1,-6.2425835,106.8021383,0.001219238,117455.625,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0
D'cozie Hotel by Prasanthi,1115,350000,jakarta selatan,3,8.1,-6.2425835,106.8021383,0.001219238,106961.3,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0
D'cozie Hotel by Prasanthi,1116,350000,jakarta selatan,3,8.1,-6.2425835,106.8021383,0.001219238,97916.44444,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0
D'cozie Hotel by Prasanthi,1117,350000,jakarta selatan,3,8.1,-6.2425835,106.8021383,0.001219238,121328.1111,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0
D'cozie Hotel by Prasanthi,1118,350000,jakarta selatan,3,8.1,-6.2425835,106.8021383,0.001219238,133296.5556,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0
D'cozie Hotel by Prasanthi,1119,350000,jakarta selatan,3,8.1,-6.2425835,106.8021383,0.001219238,102402.4,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0
D'cozie Hotel by Prasanthi,1120,350000,jakarta selatan,3,8.1,-6.2425835,106.8021383,0.001219238,113514.7,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0
D'cozie Hotel by Prasanthi,1121,350000,jakarta selatan,3,8.1,-6.2425835,106.8021383,0.001219238,102281.4,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0
V Hotel Tebet Jakarta,1112,350000,jakarta selatan,2,8.5,-6.2420456,106.8447389,0.008523732,284769.1111,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0
V Hotel Tebet Jakarta,1116,350000,jakarta selatan,2,8.5,-6.2420456,106.8447389,0.008523732,259761.1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0
V Hotel Tebet Jakarta,1117,350000,jakarta selatan,2,8.5,-6.2420456,106.8447389,0.008523732,257274.1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0
