Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,sleman,yogyakarta,bantul,kulon progo,gunungkidul
Hotel Srikandi Baru,1023,100000,sleman,1,7.8,-7.7573512,110.3836327,0.003337354,356975,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0
Hotel Srikandi Baru,1024,100000,sleman,1,7.8,-7.7573512,110.3836327,0.003337354,183449.3,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0
Hotel Srikandi Baru,1025,100000,sleman,1,7.8,-7.7573512,110.3836327,0.003337354,215860.1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0
Hotel Srikandi Baru,1026,100000,sleman,1,7.8,-7.7573512,110.3836327,0.003337354,200774.2,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0
Hotel Srikandi Baru,1027,100000,sleman,1,7.8,-7.7573512,110.3836327,0.003337354,203316.1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0
Hotel Srikandi Baru,1028,100000,sleman,1,7.8,-7.7573512,110.3836327,0.003337354,194205.6667,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0
Hotel Srikandi Baru,1029,100000,sleman,1,7.8,-7.7573512,110.3836327,0.003337354,330069.125,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0
Hotel Srikandi Baru,1030,100000,sleman,1,7.8,-7.7573512,110.3836327,0.003337354,305197.5556,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0
Hotel Srikandi Baru,1031,100000,sleman,1,7.8,-7.7573512,110.3836327,0.003337354,218531.6,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0
Hotel Srikandi Baru,1101,100000,sleman,1,7.8,-7.7573512,110.3836327,0.003337354,215633.1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0
Hotel Purnama IV Yogyakarta,1021,100000,sleman,0,7.7,-7.7563246,110.3892714,0.005833527,268580.5,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
Hotel Purnama IV Yogyakarta,1022,100000,sleman,0,7.7,-7.7563246,110.3892714,0.005833527,336140.9,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
Hotel Purnama IV Yogyakarta,1024,100000,sleman,0,7.7,-7.7563246,110.3892714,0.005833527,226236.2222,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0
Hotel Purnama IV Yogyakarta,1026,100000,sleman,0,7.7,-7.7563246,110.3892714,0.005833527,218312.5,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
Hotel Purnama IV Yogyakarta,1028,100000,sleman,0,7.7,-7.7563246,110.3892714,0.005833527,219745.3333,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
Hotel Purnama IV Yogyakarta,1029,100000,sleman,0,7.7,-7.7563246,110.3892714,0.005833527,330798.4444,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
Hotel Purnama IV Yogyakarta,1030,100000,sleman,0,7.7,-7.7563246,110.3892714,0.005833527,311435.625,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0
Hotel Purnama IV Yogyakarta,1031,100000,sleman,0,7.7,-7.7563246,110.3892714,0.005833527,255947.3,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0
Hotel Purnama IV Yogyakarta,1101,100000,sleman,0,7.7,-7.7563246,110.3892714,0.005833527,241378.8,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
Satya Graha Hotel,1020,100000,yogyakarta,0,8.3,-7.8157542,110.3879278,0.004681612,114700,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0
Satya Graha Hotel,1025,100000,yogyakarta,0,8.3,-7.8157542,110.3879278,0.004681612,102450,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0
Satya Graha Hotel,1027,100000,yogyakarta,0,8.3,-7.8157542,110.3879278,0.004681612,118844.5556,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0
Satya Graha Hotel,1028,100000,yogyakarta,0,8.3,-7.8157542,110.3879278,0.004681612,140960.1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0
